Rank,County,Population
1,Franklin County,1316756
2,Cuyahoga County,1235072
3,Hamilton County,817473
4,Summit County,541013
5,Montgomery County,531687
6,Lucas County,428348
7,Butler County,383134
8,Stark County,370606
9,Lorain County,309833
10,Warren County,234602
11,Lake County,230149
12,Mahoning County,228683
13,Delaware County,209177
14,Clermont County,206428
15,Trumbull County,197974
16,Medina County,179746
17,Licking County,176862
18,Greene County,168937
19,Portage County,162466
20,Fairfield County,157574
21,Clark County,134083
22,Wood County,130817
23,Richland County,121154
24,Wayne County,115710
25,Miami County,106987
26,Allen County,102351
27,Columbiana County,101883
28,Ashtabula County,97241
29,Geauga County,93649
30,Tuscarawas County,91987
31,Muskingum County,86215
32,Ross County,76666
33,Hancock County,75783
34,Scioto County,75314
35,Erie County,74266
36,Belmont County,67006
37,Athens County,65327
38,Jefferson County,65325
39,Marion County,65093
40,Knox County,62322
41,Washington County,59911
42,Lawrence County,59463
43,Union County,58988
44,Sandusky County,58518
45,Pickaway County,58457
46,Huron County,58266
47,Seneca County,55178
48,Ashland County,53484
49,Darke County,51113
50,Shelby County,48590
51,Logan County,45672
52,Auglaize County,45656
53,Madison County,44731
54,Holmes County,43960
55,Brown County,43432
56,Highland County,43161
57,Fulton County,42126
58,Clinton County,41968
59,Crawford County,41494
60,Mercer County,41172
61,Preble County,40882
62,Ottawa County,40525
63,Champaign County,38885
64,Guernsey County,38875
65,Defiance County,38087
66,Williams County,36692
67,Coshocton County,36600
68,Perry County,36134
69,Morrow County,35328
70,Putnam County,33861
71,Jackson County,32413
72,Hardin County,31365
73,Gallia County,29898
74,Fayette County,28525
75,Van Wert County,28275
76,Hocking County,28264
77,Pike County,27772
78,Adams County,27698
79,Henry County,27006
80,Carroll County,26914
81,Meigs County,22907
82,Wyandot County,21772
83,Paulding County,18672
84,Harrison County,15040
85,Morgan County,14508
86,Noble County,14424
87,Monroe County,13654
88,Vinton County,13085
